app_name,version_name,file_sha256,file_md5,url
NBA大灌篮,0.0.427,c78e4dde60c31358bbb43495409ec831efc274f65710d9a77b6d0fe97cf83b8a,228de178f36f03155f99959979531dfe,http://storedl1.nearme.com.cn/apk/202112/14/2daab927ef18872c5c71196fdc14f106.apk
跃动小子,1.3.0,1a4f9fad8c16292bdbb7ab7238a2a89e1a8053d791634eafeb8eecbea76a9223,af42e94cffc23bbcd9ea98d5a010638f,https://storedl.nearme.com.cn/apk/202306/27/1b900014070d4ab072e5a1df3751613d.apk
高速闪电wifi,1.0.1,b64bf2303888e79b2b23700058d65e1e131a24a5ca70316f58e930a49e19e055,737b107be7c053e2bece196bb761fcbf,http://storedl1.nearme.com.cn/apk/202201/18/872cdc1eded3c23816689623cb7d9d20.apk
彩映相机,1.0.0,939dd0930ac5fd3c0cdf33013861477c93d65a1b1aa7dbc8d5916b5b7c63415b,5fc988314e17f1817513696da5171b1a,http://storedl1.nearme.com.cn/apk/202204/20/094fb251cadb08186dc8423f12ff89b1.apk
消水果,1.0.6,66ecf81e1fa27a2251ff8ed4e6d19d5b5a948f0c85540d864334679f94089088,ddc30b3ead976c18d3487e22061f5b9e,http://storedl1.nearme.com.cn/apk/202012/23/3a2b585a6cad7eeef931928c56db0158.apk
薄荷计步,1.0.0,4cbfb9bab96d659bca693ccdf6c9ceae296fb427ad105e4892b91f095b13ed8e,ea636d8d3451563609c66a7a4870a04c,http://storedl1.nearme.com.cn/apk/202203/03/b260d89d07f35eddef1abc36bae55fbe.apk
wifi如意连,1.0.1,8970c50c625d6184450712ec05bd8cb0b047c725c179a36cd12f2b5800ab3314,923e3c229007d3614091dab3a9d208e8,http://storedl1.nearme.com.cn/apk/202106/22/5c31f1e46bc36a92684314e594962073.apk
全口袋wifi,1.0.0,711b56f00086c077573084331df53c6379fb01b42d5b93133456abf58f9395ff,9da6ab311db68155e0e04c8a0734db76,http://storedl1.nearme.com.cn/apk/202108/18/335c089bfb91179119b0ed3a52e21139.apk
全全极速wifi,1.0.1,b1319bf8702e80aa6aa055fd370d1ddc5a29c5febbde51c5c64249c4e36e66a4,26fe770e5c8d147dccd72c54c59f88db,http://storedl1.nearme.com.cn/apk/202108/23/9fce16c69363b7d90adbfda9850fb439.apk
全全wifi精灵,1.0.0,8796af4e97511a07920037f993ba751123d38e4bebfffac8daf67af7c28e4d0a,d791dc43541d2936ffc02bd7900a0896,http://storedl1.nearme.com.cn/apk/202201/14/89d6bcf7860109a7c2d9c713c65e5eac.apk
